model,split,rmse,mae
baseline_persistence,test,0.2491986803513774,0.20178009979383713
linear_regression,train,0.15414722695119046,0.12220145812993621
linear_regression,val,0.1667995419289651,0.12560165747814234
linear_regression,test,0.1524505269859145,0.12005246314727684
random_forest,train,0.11322923653921477,0.08886928323981069
random_forest,val,0.17771078042047328,0.13436672565722702
random_forest,test,0.1567164904319959,0.12369374844228252
neural_net,train,0.15774748009827325,0.12431898751888819
neural_net,val,0.23874946916048878,0.16480949723069419
neural_net,test,0.24267353084248247,0.15934163926723224
